Date,Adjusted Close,Linear Regression,LSTM,Random Forest Regressor
2021-10-19,147.931061,148.7490194,145.61987,147.9284868
2021-10-20,148.428268,149.1840133,147.52365,148.5536216
2021-10-21,148.647049,149.3754245,148.24146,148.65979
2021-10-22,147.86145,148.688117,148.50015,147.935125
2021-10-25,147.811722,148.6446096,147.98325,147.8949051
2021-10-26,148.487946,149.2362515,147.91548,148.6275187
2021-10-27,148.020554,148.82733,148.5062,147.9892041
2021-10-28,151.719833,152.0638187,148.3567,151.6242455
2021-10-29,148.965271,149.6538505,151.16757,148.8356931
2021-11-01,148.129959,148.9230356,149.56766,148.0595966
2021-11-02,149.184052,149.8452484,148.67012,149.2495441
2021-11-03,150.645844,151.1241977,149.33151,150.599484
2021-11-04,150.11879,150.663078,150.58865,150.2206151
2021-11-05,150.65657,151.1335694,150.39459,150.61666
2021-11-08,149.820038,150.4016865,150.76419,149.9518869
2021-11-09,150.188507,150.7240471,150.19196,150.2000105
2021-11-10,147.310425,148.2060246,150.39467,147.3514204
2021-11-11,147.26062,148.1624504,148.28833,147.3471099
2021-11-12,149.371887,150.0096126,147.90607,149.2442059
2021-11-15,149.381836,150.0183168,149.46315,149.3216792
2021-11-16,150.377731,150.8895995,149.76956,150.2022894
2021-11-17,152.857468,153.0591356,150.53185,152.9055406
2021-11-18,157.219406,156.8753982,152.5078,156.9343873
2021-11-19,159.888382,159.2104733,156.19865,159.8993374
2021-11-22,160.35643,159.6199822,158.72696,160.4356691
2021-11-23,160.744827,159.9598045,159.22435,160.9075163
2021-11-24,161.272644,160.4215784,159.54869,161.2250533
2021-11-26,156.163788,155.9518371,160.09946,156.4514784
2021-11-29,159.579651,158.9403777,156.06685,159.6545719
2021-11-30,164.618805,163.3491365,158.80879,164.652753
2021-12-01,164.090988,162.8873493,163.39929,164.1380162
2021-12-02,163.085144,162.0073357,163.167,162.9874307
2021-12-03,161.17305,160.3344568,162.27129,161.2531033
2021-12-06,164.638733,163.3665582,160.65073,164.6755425
2021-12-07,170.474548,168.4723432,163.6296,170.3548188
2021-12-08,174.35849,171.8703927,168.86806,174.2862837
2021-12-09,173.840637,171.417323,172.24384,173.8743611
2021-12-10,178.710495,175.6779511,171.36902,178.4166661
2021-12-13,175.015778,172.445454,176.01503,175.0426884
2021-12-14,173.611588,171.2169273,172.0358,173.7821211
2021-12-15,178.561096,175.5472687,171.34576,178.3867454
2021-12-16,171.550095,169.4133259,176.31268,171.4995069
2021-12-17,170.434738,168.4374865,169.30553,170.5579639
2021-12-20,169.050446,167.2263948,169.34692,169.1237234
2021-12-21,172.2771,170.049383,168.23326,172.0564866
2021-12-22,174.916183,172.358319,171.37949,174.9779859
2021-12-23,175.553543,172.9159453,173.55687,175.5442143
2021-12-27,179.586868,176.4447039,173.79576,179.1599993
2021-12-28,178.551132,175.5385378,177.4252,178.5915243
2021-12-29,178.640778,175.6169686,175.78062,178.6436333
2021-12-30,177.465637,174.5888376,176.04945,177.4535827
2021-12-31,176.838226,174.0399288,174.89099,177.1127071
2022-01-03,181.259933,177.9084696,174.59215,180.5520681
2022-01-04,178.959457,175.8957684,179.0635,178.7789593
2022-01-05,174.199142,171.7309928,176.19603,174.2369295
2022-01-06,171.291183,169.1868044,172.16556,171.4302936
2022-01-07,171.460495,169.3349352,170.13771,171.4870801
2022-01-10,171.480408,169.3523568,170.63937,171.2601118
2022-01-11,174.35849,171.8703927,170.65875,174.2796283
2022-01-12,174.806641,172.2624799,173.2936,174.9409467
2022-01-13,171.480408,169.3523568,173.3168,171.4870801
2022-01-14,172.356796,170.1191097,170.06602,172.2011927
2022-01-18,169.10025,167.2699556,171.1403,169.2699486
2022-01-19,165.544968,164.1594368,168.00804,165.5663621
2022-01-20,163.832047,162.6608011,165.0991,163.8940934
2022-01-21,161.740723,160.8310873,163.78868,161.8646765
2022-01-24,160.953949,160.1427652,162.0656,160.9699691
2022-01-25,159.121536,158.5395729,161.40593,159.1141733
2022-01-26,159.031921,158.4611688,159.79694,159.037647
2022-01-27,158.563858,158.0516599,159.56372,158.7061327
2022-01-28,169.628082,167.7317562,159.0202,169.6868607
2022-01-31,174.059738,171.6090012,168.36057,174.182523
2022-02-01,173.890427,171.4608838,172.28207,173.8666052
2022-02-02,175.115356,172.5325756,171.45447,175.0047541
2022-02-03,172.187469,169.9709656,172.43669,172.1889925
2022-02-04,171.898315,169.7179845,169.6513,171.9345
2022-02-07,171.170395,169.0811264,169.84927,171.4160762
2022-02-08,174.33136,171.8466565,169.42169,174.2446396
2022-02-09,175.777206,173.1116285,172.62373,175.5866541
2022-02-10,171.629074,169.4824251,173.84198,171.5179394
2022-02-11,168.159012,166.4464656,169.90714,168.2947821
2022-02-14,168.398331,166.6558458,167.21925,168.2540626
2022-02-15,172.297165,170.0669382,167.6893,172.1718945
2022-02-16,172.057861,169.8575713,171.26077,172.1448275
2022-02-17,168.398331,166.6558458,170.74487,168.4048076
2022-02-18,166.82283,165.2774395,167.36638,166.8115091
2022-02-22,163.851334,162.6776754,166.18092,163.9033216
2022-02-23,159.613464,158.9699611,163.65495,159.5825773
2022-02-24,162.275848,161.2992825,160.13594,162.3256001
2022-02-25,164.379822,163.14005,162.35332,164.4238705
2022-02-28,164.649048,163.3755961,164.16599,164.6542516
2022-03-01,162.734512,161.7005678,164.31873,162.6914787
2022-03-02,166.084946,164.6318639,162.51451,165.9186573
2022-03-03,165.755875,164.3439595,165.27141,165.6992546
2022-03-04,162.704605,161.674402,164.86284,162.667946
2022-03-07,158.845657,158.2982063,162.16531,158.8734548
2022-03-08,156.990952,156.6755231,158.93497,157.2258097
2022-03-09,162.485229,161.4824701,157.40875,162.4027137
